1	17752
1	17753
2	17752
2	17753
3	17752
3	17753
4	17752
4	17753
5	17752
5	17754
6	17752
6	17754
7	17752
7	17754
8	17752
8	17753
9	17752
9	17754
10	17752
10	17753
11	17752
11	17753
12	17752
12	17754
13	17752
13	17753
14	17752
14	17753
15	17752
15	17753
16	17752
16	17753
17	17752
17	17753
18	17752
18	17754
19	17752
19	17754
20	17752
20	17753
21	17752
21	17754
22	17752
22	17753
23	17752
23	17754
24	17752
24	17753
25	17752
25	17754
26	17752
26	17753
27	17752
27	17753
28	17752
28	17754
29	17752
29	17753
30	17752
30	17754
31	17752
31	17753
32	17752
32	17754
33	17752
33	17753
34	17752
34	17753
35	17752
35	17753
36	17752
36	17753
37	17752
37	17753
38	17752
38	17753
39	17752
39	17753
40	17752
40	17753
41	17752
41	17753
42	17752
42	17754
43	17752
43	17753
44	17752
44	17753
45	17752
45	17754
46	17752
46	17753
47	17752
47	17754
48	17752
48	17753
49	17752
49	17753
50	17752
50	17753
51	17752
51	17753
52	17752
52	17753
53	17752
53	17753
54	17752
54	17753
55	17752
55	17754
56	17752
56	17754
57	17752
57	17753
58	17752
58	17753
59	17752
59	17753
60	17752
60	17754
61	17752
61	17753
62	17752
62	17753
63	17752
63	17753
64	17752
64	17753
65	17752
65	17753
66	17752
66	17754
67	17752
67	17753
68	17752
68	17753
69	17752
69	17754
70	17752
70	17753
71	17752
71	17753
72	17752
72	17753
73	17752
73	17754
74	17752
74	17753
75	17752
75	17753
76	17752
76	17754
77	17752
77	17753
78	17752
78	17754
79	17752
79	17754
80	17752
81	17752
82	17752
83	17752
84	17752
84	17753
85	17752
85	17754
86	17752
86	17754
87	17752
87	17753
88	17752
88	17753
89	17752
90	17752
90	17754
91	17752
92	17752
93	17752
94	17752
94	17754
95	17752
96	17752
97	17752
97	17754
98	17752
99	17752
99	17754
100	17752
100	17754
101	17752
101	17754
102	17752
102	17753
103	17752
103	17754
104	17752
105	17752
105	17754
106	17752
107	17752
108	17752
109	17752
110	17752
110	17754
111	17752
111	17753
112	17752
112	17754
113	17752
114	17752
115	17752
115	17754
116	17752
116	17754
117	17752
118	17752
119	17752
120	17752
120	17754
121	17752
122	17752
122	17754
123	17752
124	17752
124	17754
125	17752
126	17752
127	17752
127	17754
128	17752
129	17752
130	17752
130	17754
131	17752
132	17752
132	17753
133	17755
133	17756
133	17757
134	17755
134	17756
134	17757
135	17755
135	17756
135	17757
136	17755
136	17756
136	17757
137	17755
137	17756
137	17757
138	17755
138	17756
138	17757
139	17758
139	17755
139	17759
139	17756
140	17758
140	17755
140	17760
141	17758
141	17755
141	17756
142	17758
142	17755
142	17760
143	17758
143	17755
143	17756
144	17758
144	17755
144	17759
144	17756
145	17755
145	17757
146	17755
146	17757
147	17755
147	17757
148	17758
148	17755
148	17759
148	17756
149	17758
149	17755
149	17759
149	17756
150	17758
150	17755
150	17759
150	17756
151	17758
151	17755
151	17759
151	17756
152	17758
152	17755
152	17760
153	17758
153	17755
153	17756
154	17758
154	17755
154	17760
155	17758
155	17755
155	17756
156	17755
156	17757
157	17755
157	17757
158	17755
158	17757
159	17755
159	17757
160	17755
160	17757
161	17758
161	17755
161	17760
162	17758
162	17755
162	17760
163	17755
163	17757
164	17758
164	17755
164	17760
165	17758
165	17755
165	17760
166	17755
166	17757
167	17755
167	17756
167	17757
168	17755
168	17756
168	17757
169	17755
169	17756
169	17757
170	17758
170	17755
170	17760
171	17755
171	17757
172	17755
172	17757
173	17755
173	17757
174	17755
174	17757
175	17755
175	17757
176	17755
176	17757
177	17755
177	17756
177	17757
178	17758
178	17755
178	17756
179	17758
179	17755
179	17756
180	17758
180	17755
180	17756
181	17755
181	17757
182	17758
182	17755
182	17760
183	17758
183	17755
183	17759
183	17756
184	17755
184	17757
185	17755
185	17757
186	17758
186	17755
186	17756
187	17758
187	17755
187	17756
188	17758
188	17755
188	17760
189	17755
189	17756
189	17757
190	17758
190	17755
190	17759
190	17756
191	17755
191	17757
192	17755
192	17757
193	17755
193	17757
194	17755
194	17757
195	17755
195	17757
196	17758
196	17755
196	17759
196	17756
197	17758
197	17755
197	17759
197	17756
198	17755
198	17756
198	17757
199	17755
199	17756
199	17757
200	17758
200	17755
200	17759
200	17756
201	17755
201	17757
202	17755
202	17756
202	17757
203	17758
203	17755
203	17759
203	17756
204	17755
204	17757
205	17755
205	17757
206	17755
206	17757
207	17755
207	17757
208	17755
208	17757
209	17755
209	17757
210	17758
210	17755
210	17759
210	17756
211	17758
211	17755
211	17759
211	17756
212	17758
212	17755
212	17759
212	17756
213	17755
213	17757
214	17758
214	17755
214	17760
215	17755
215	17757
216	17758
216	17755
